gender,worthChange,name,timestamp,industry,lastName,uri,imageUri,realTimeWorth,source,realTimePosition,squareImage,realTimeRank,country,age,title,headquarters,state,rank,worth,government,position,pay,managementAssets,salary
M,10.419,Radhe Shyam Agarwal,1531878901818,Fashion & Retail,Agarwal,radhe-shyam-agarwal,http://i.forbesimg.com/media/lists/people/radhe-shyam-agarwal_100x100.jpg,1464.012,consumer goods,1599,//specials-images.forbesimg.com/imageserve/0e96c29819c584840c6320805c622547/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=15&cropY2=755,1599,India,73,,,,1468,1400.0,,1469,,,
M,-2.5,Bill Alfond,1531878901818,Fashion & Retail,Alfond,bill-alfond,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1581.529,shoes,1494,,1494,United States,70,,ME,Maine,1468,1400.0,,1470,,,
M,,Peter Alfond,1518126062787,Fashion & Retail,Alfond,peter-alfond,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,,shoes,,,,United States,66,,,,1468,1400.0,,1471,,,
F,-2.5,Susan Alfond,1531878901818,Fashion & Retail,Alfond,susan-alfond,http://i.forbesimg.com/media/lists/people/susan-alfond_100x100.jpg,1579.3,shoes,1497,//specials-images.forbesimg.com/imageserve/5744d15531358e68498f9c24/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750,1497,United States,72,,ME,Maine,1468,1400.0,,1472,,,
M,-2.5,Ted Alfond,1531878901818,Fashion & Retail,Alfond,ted-alfond,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1581.529,shoes,1495,,1494,United States,73,,MA,Massachusetts,1468,1400.0,,1473,,,
M,1.369,Bassam Alghanim,1531878901818,Diversified,Alghanim,bassam-alghanim,http://i.forbesimg.com/media/lists/people/bassam-alghanim_100x100.jpg,1392.115,diversified,1671,//specials-images.forbesimg.com/imageserve/71d32e49d176d12876ada8942eec1019/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=60&cropY2=801,1671,Kuwait,66,,CA,California,1468,1400.0,,1474,,,
M,1.369,Kutayba Alghanim,1531878901818,Diversified,Alghanim,kutayba-alghanim,http://i.forbesimg.com/media/lists/people/kutayba-alghanim_100x100.jpg,1417.115,diversified,1640,//specials-images.forbesimg.com/imageserve/58d3cbeb4bbe6f0e5589280b/416x416.jpg?background=000000&cropX1=0&cropX2=1497&cropY1=57&cropY2=1554,1640,Kuwait,72,,,,1468,1400.0,,1475,,,
M,11.928,Joao Alves de Queiroz Filho,1531878901818,Diversified,Alves de Queiroz Filho,joao-alves-de-queiroz-filho,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1501.912,pharmaceuticals,1572,,1572,Brazil,65,,,,1468,1400.0,,1476,,,
M,,Alexei Ananyev,1518126046756,Diversified,Ananyev,alexei-ananyev,http://i.forbesimg.com/media/lists/people/alexei-ananyev_100x100.jpg,,"banking, IT, real estate",,//specials-images.forbesimg.com/imageserve/56cbfa76e4b062f6b59a4ecc/416x416.jpg?background=000000&cropX1=56&cropX2=744&cropY1=79&cropY2=767,,Russia,53,,,,1468,1400.0,,1477,,,
M,,Dmitry Ananyev,1518126046530,Diversified,Ananyev,dmitry-ananyev,http://i.forbesimg.com/media/lists/people/dmitry-ananyev_100x100.jpg,,"banking, IT, real estate",,,,Russia,49,,,,1468,1400.0,,1478,,,
M,1.621,Ramon Ang,1531878901818,Food and Beverage,Ang,ramon-ang,http://i.forbesimg.com/media/lists/people/ramon-ang_100x100.jpg,2400.484,Diversified,1022,//specials-images.forbesimg.com/imageserve/58a07315a7ea431f321954f5/416x416.jpg?background=000000&cropX1=31&cropX2=744&cropY1=298&cropY2=1012,1022,Philippines,64,,,,1468,1400.0,,1479,,,
M,0.0,Vasily Anisimov,1531878901818,Metals & Mining,Anisimov,vasily-anisimov,http://i.forbesimg.com/media/lists/people/vasily-anisimov_100x100.jpg,1379.585,real estate,1687,//specials-images.forbesimg.com/imageserve/5a80c73f4bbe6f2652f540f5/416x416.jpg?background=000000&cropX1=865&cropX2=2746&cropY1=17&cropY2=1897,1687,Russia,66,,,,1468,1400.0,,1480,,,
M,0.0,Mika Anttonen,1531878901818,Energy,Anttonen,mika-anttonen,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1908.218,oil & gas,1271,//specials-images.forbesimg.com/imageserve/58b061b1a7ea431f321a1929/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823,1271,Finland,51,,,,1468,1400.0,,1481,,,
M,0.0,William F. Austin,1531878901818,Manufacturing,Austin,william-f-austin,http://i.forbesimg.com/media/lists/people/william-f-austin_100x100.jpg,1730.034,hearing aids,1379,//specials-images.forbesimg.com/imageserve/5a8f0e50a7ea434a0c27037e/416x416.jpg?background=000000&cropX1=437&cropX2=1850&cropY1=17&cropY2=1431,1379,United States,76,,MN,Minnesota,1468,1400.0,,1482,,,
M,0.0,Lesley Bamberger,1531878901818,Real Estate,Bamberger,lesley-bamberger,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1652.331,real estate,1448,//specials-images.forbesimg.com/imageserve/58a380994bbe6f0e5586cf65/416x416.jpg?background=000000&cropX1=129&cropX2=712&cropY1=135&cropY2=718,1448,Netherlands,53,,,,1468,1400.0,,1483,,,
M,16.981,Alex Beard,1531878901818,Metals & Mining,Beard,alex-beard,http://i.forbesimg.com/media/lists/people/alex-beard_100x100.jpg,1539.732,"mining, commodities",1532,//specials-images.forbesimg.com/imageserve/590b52ffa7ea437ada26ed34/416x416.jpg?background=000000&cropX1=0&cropX2=1632&cropY1=77&cropY2=1710,1532,United Kingdom,50,,,,1468,1400.0,,1484,,,
F,0.0,Angela Bennett,1531878901818,Metals & Mining,Bennett,angela-bennett,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,1708.06,mining,1406,//specials-images.forbesimg.com/imageserve/5a7a3d3a4bbe6f2652f4d361/416x416.jpg?background=000000&cropX1=2&cropX2=276&cropY1=35&cropY2=309,1406,Australia,74,,,,1468,1400.0,,1485,,,
M,0.0,Henadiy Boholyubov,1531878901818,Diversified,Boholyubov,henadiy-boholyubov,http://i.forbesimg.com/media/lists/people/henadiy-boholyubov_100x100.jpg,1239.799,"banking, investments",1837,//specials-images.forbesimg.com/imageserve/56cc590ce4b062f6b59a507b/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=156&cropY2=899,1837,Ukraine,56,,,,1468,1400.0,,1486,,,
F,0.0,Ana Maria Brescia Cafferata,1531878901818,Diversified,Brescia Cafferata,ana-maria-brescia-cafferata,http://i.forbesimg.com/media/lists/people/no-pic-female_100x100.jpg,1538.0,"mining, banking",1534,,1534,Peru,94,,,,1468,1400.0,,1487,,,
M,43.57,Anand Burman,1531878901818,Food and Beverage,Burman,anand-burman-1,http://i.forbesimg.com/media/lists/people/anand-burman-1_100x100.jpg,1853.001,consumer goods,1300,,1300,India,66,,,,1468,1400.0,,1488,,,
M,0.0,Ahmet Calik,1531878901818,Diversified,Calik,ahmet-calik,http://i.forbesimg.com/media/lists/people/ahmet-calik_100x100.jpg,1296.571,"energy, banking, construction",1782,//specials-images.forbesimg.com/imageserve/5a8143b84bbe6f2652f5470b/416x416.jpg?background=000000&cropX1=10&cropX2=2400&cropY1=306&cropY2=2696,1782,Turkey,60,,,,1468,1400.0,,1489,,,
